condition,trial,feature,mean_absolute_change,mean_clean_absolute_value
clean,0,hjorth__activity__FT9-FT10,0.0,1.568436140524573e-08
clean,0,hjorth__mobility__FT9-FT10,0.0,0.14309322707604205
clean,0,hjorth__complexity__FT9-FT10,0.0,5.371678396404338
clean,0,hjorth__activity__FZ-CZ,0.0,1.3988061991949237e-08
clean,0,hjorth__mobility__FZ-CZ,0.0,0.10322547378865082
clean,0,hjorth__complexity__FZ-CZ,0.0,6.8614213155913015
clean,0,hjorth__activity__P3-O1,0.0,2.334356727714463e-08
clean,0,hjorth__mobility__P3-O1,0.0,0.16139159723323543
clean,0,hjorth__complexity__P3-O1,0.0,4.551291206628989
clean,0,hjorth__activity__P4-O2,0.0,1.8735513967656663e-08
clean,0,hjorth__mobility__P4-O2,0.0,0.15659495658061048
clean,0,hjorth__complexity__P4-O2,0.0,5.081757659684657
clean,0,hjorth__activity__P7-O1,0.0,2.669935539478172e-08
clean,0,hjorth__mobility__P7-O1,0.0,0.24909357796860707
clean,0,hjorth__complexity__P7-O1,0.0,3.486804676098976
clean,0,hjorth__activity__P7-T7,0.0,1.2916122120911198e-08
clean,0,hjorth__mobility__P7-T7,0.0,0.45843978264205576
clean,0,hjorth__complexity__P7-T7,0.0,2.0645922601015774
clean,0,hjorth__activity__P8-O2,0.0,1.871772680337057e-08
clean,0,hjorth__mobility__P8-O2,0.0,0.29617103573906983
clean,0,hjorth__complexity__P8-O2,0.0,3.3492280312398597
clean,0,hjorth__activity__T7-FT9,0.0,6.729069452312352e-09
clean,0,hjorth__mobility__T7-FT9,0.0,0.38176422582874814
clean,0,hjorth__complexity__T7-FT9,0.0,2.2395644853587404
clean,0,hjorth__activity__T7-P7,0.0,1.29161221209112e-08
clean,0,hjorth__mobility__T7-P7,0.0,0.45843978264205565
clean,0,hjorth__complexity__T7-P7,0.0,2.064592260101578
clean,0,hjorth__activity__T8-P8,0.0,3.051797783390578e-08
clean,0,hjorth__mobility__T8-P8,0.0,0.3884512629370541
clean,0,hjorth__complexity__T8-P8,0.0,3.137999081090716
noise_white,0,time__mean__C3-P3,1.6940658945086007e-21,6.899910053063223e-06
noise_white,0,time__std__C3-P3,5.0193269892144805e-06,0.00011271743479775487
noise_white,0,time__rms__C3-P3,5.0101498599445165e-06,0.00011292882307545197
noise_white,0,time__ptp__C3-P3,7.626528480916649e-05,0.0006783761981967039
noise_white,0,time__line_length__C3-P3,0.03210593586102238,0.008280686945223478
noise_white,0,time__mean__C4-P4,8.470329472543003e-22,7.30150403344062e-06
noise_white,0,time__std__C4-P4,7.486173549065536e-06,0.0001320023472174201
noise_white,0,time__rms__C4-P4,7.475602632950132e-06,0.0001322127217010076
noise_white,0,time__ptp__C4-P4,0.00012190849187561917,0.0006621692627244208
noise_white,0,time__line_length__C4-P4,0.03930994623058165,0.007137984871823277
noise_white,0,time__mean__CZ-PZ,2.541098841762901e-21,3.5490509889624138e-06
noise_white,0,time__std__CZ-PZ,4.453711118858426e-06,0.00010771398653867895
noise_white,0,time__rms__CZ-PZ,4.449783090333631e-06,0.00010783065691603551
noise_white,0,time__ptp__CZ-PZ,9.647616450576677e-05,0.000550525108350665
noise_white,0,time__line_length__CZ-PZ,0.03254616432531629,0.005361634444692849
noise_white,0,time__mean__F3-C3,2.964615315390051e-21,6.160240592617072e-07
noise_white,0,time__std__F3-C3,5.828028136596872e-06,0.00011533355605295226
noise_white,0,time__rms__F3-C3,5.827945544816046e-06,0.00011533525139341053
noise_white,0,time__ptp__F3-C3,0.00010206452238303024,0.0005911022115874965
noise_white,0,time__line_length__F3-C3,0.03280637250701439,0.007292229836816697
noise_white,0,time__mean__F4-C4,1.0164395367051604e-20,8.766717549934969e-06
noise_white,0,time__std__F4-C4,4.0722804772872265e-06,0.00010979028075101035
noise_white,0,time__rms__F4-C4,4.052508755306507e-06,0.00011038343217837367
noise_white,0,time__ptp__F4-C4,7.123668640662893e-05,0.000528402304824275
noise_white,0,time__line_length__F4-C4,0.03184506969916459,0.0073806354660168275
noise_white,0,time__mean__F7-T7,5.082197683525802e-21,1.0497018505036145e-05
noise_white,0,time__std__F7-T7,5.482594953950661e-06,0.00012562696757034155
noise_white,0,time__rms__F7-T7,5.462848301238509e-06,0.00012611511267538166
noise_white,0,time__ptp__F7-T7,8.860243223818591e-05,0.000676894702769076
noise_white,0,time__line_length__F7-T7,0.026232599596009785,0.02354020470422439
noise_white,0,time__mean__F8-T8,2.117582368135751e-22,1.1441660899909607e-05
noise_white,0,time__std__F8-T8,5.656431702108633e-06,0.00011874427457264397
noise_white,0,time__rms__F8-T8,5.603089685991957e-06,0.00011977253764044064
noise_white,0,time__ptp__F8-T8,6.984204464289699e-05,0.0006637087052629014
noise_white,0,time__line_length__F8-T8,0.02098347384223952,0.03212670895975479
noise_white,0,time__mean__FP1-F3,2.964615315390051e-21,8.78664866426258e-06
noise_white,0,time__std__FP1-F3,5.790719548499875e-06,0.0001567796042609754
noise_white,0,time__rms__FP1-F3,5.781971720440452e-06,0.0001570280353975132
noise_white,0,time__ptp__FP1-F3,0.00011957411893314562,0.0009768657673607764
noise_white,0,time__line_length__FP1-F3,0.043921215586014445,0.012890093868025976
noise_white,0,time__mean__FP1-F7,2.541098841762901e-21,1.1161410104091903e-05
noise_white,0,time__std__FP1-F7,4.239036093167312e-06,0.0001515334659634331
noise_white,0,time__rms__FP1-F7,4.222797167062817e-06,0.00015198833566634475
noise_white,0,time__ptp__FP1-F7,4.90140714724033e-05,0.0009718847119083627
noise_white,0,time__line_length__FP1-F7,0.04017858446940838,0.013465408735649465
noise_white,0,time__mean__FP2-F4,8.470329472543003e-22,6.398968562370221e-06
noise_white,0,time__std__FP2-F4,4.804714380284376e-06,0.00012619605217993553
noise_white,0,time__rms__FP2-F4,4.797455870904477e-06,0.00012640149592001504
noise_white,0,time__ptp__FP2-F4,7.304757636493464e-05,0.0008568181477160606
noise_white,0,time__line_length__FP2-F4,0.03425884851182992,0.010183951312421469
noise_white,0,time__mean__FP2-F8,2.117582368135751e-21,5.1932883661088855e-06
noise_white,0,time__std__FP2-F8,5.722135206370863e-06,0.00012343286249150083
noise_white,0,time__rms__FP2-F8,5.714302321937158e-06,0.00012360168867894605
noise_white,0,time__ptp__FP2-F8,5.8798264116787945e-05,0.0006710241092891937
noise_white,0,time__line_length__FP2-F8,0.03353853143094547,0.012530724767155079
noise_white,0,time__mean__FT10-T8,1.6940658945086007e-21,1.1165468649667514e-05
noise_white,0,time__std__FT10-T8,4.944056948112017e-06,9.186062734378046e-05
noise_white,0,time__rms__FT10-T8,4.894280551511063e-06,9.282116201145143e-05
noise_white,0,time__ptp__FT10-T8,7.417620237667002e-05,0.0005439742632720275
noise_white,0,time__line_length__FT10-T8,0.014411648536027544,0.031317799008942104
noise_white,0,time__mean__FT9-FT10,4.235164736271502e-21,1.1371576825558137e-05
noise_white,0,time__std__FT9-FT10,5.6253000381327475e-06,0.0001249212757195319
noise_white,0,time__rms__FT9-FT10,5.59364587327414e-06,0.00012571192552129014
noise_white,0,time__ptp__FT9-FT10,0.00013455397315918392,0.0006101090948659954
noise_white,0,time__line_length__FT9-FT10,0.03289341395808646,0.013296769214457419
noise_white,0,time__mean__FZ-CZ,3.494010907423989e-21,4.6485510269736126e-06
noise_white,0,time__std__FZ-CZ,4.654185828899421e-06,0.00010326463547978059
noise_white,0,time__rms__FZ-CZ,4.649676910467175e-06,0.00010336989405254653
noise_white,0,time__ptp__FZ-CZ,9.159035144252635e-05,0.0004937594589673625
noise_white,0,time__line_length__FZ-CZ,0.0315366251057678,0.0060148006977832034
noise_white,0,time__mean__P3-O1,4.446922973085077e-21,2.5518299247887507e-06
noise_white,0,time__std__P3-O1,5.182639081537601e-06,0.00015250321425106582
noise_white,0,time__rms__P3-O1,5.1819748821499585e-06,0.00015252559651563743
noise_white,0,time__ptp__P3-O1,9.749421707524395e-05,0.0009358366261468186
noise_white,0,time__line_length__P3-O1,0.0450857854724498,0.012342301700189563
