patient,file,start_sec,end_sec,label,condition,trial,channel_index,rmse_volts,normalized_rmse,correlation,noise_ratio,beta,method,factor,original_samples,retained_samples,sample_ratio,endpoint_policy,reduced_sample_rate,reduced_nyquist,clipped_fraction,substeps,noise_convention,initial_state,clip,target_frequency,mapping
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,17,3.53863298989978e-05,0.3,0.9573175381533097,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,18,3.6892980369450204e-05,0.3,0.9582132382273751,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,19,2.1868576747123958e-05,0.3,0.9586898209433045,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,20,3.53863298989978e-05,0.3,0.9579195177883456,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,2140.0,2144.0,1,noise_white,1,21,6.242880202281188e-05,0.3,0.9583713440107574,0.3,0.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,0,2.740644885755917e-05,0.3,0.9628123567811362,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,1,2.4947139864585595e-05,0.3,0.9580739533620534,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,2,2.4812177321239783e-05,0.3,0.9548677415548166,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,3,2.2691680694723644e-05,0.3,0.959466126381925,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,4,1.2999509375028672e-05,0.3,0.9556592836313459,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,5,3.8629182209673184e-05,0.3,0.9593148500344952,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,6,3.065096698658949e-05,0.3,0.9622680957133716,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,7,2.5341712850820327e-05,0.3,0.9589489527120764,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,8,2.157262566029877e-05,0.3,0.9613427955120899,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,9,2.0174640673612324e-05,0.3,0.956888022813415,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,10,2.71543776008327e-05,0.29999999999999993,0.960599456684933,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,11,2.886128640576866e-05,0.3,0.9636954887573794,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,12,3.480931222437681e-05,0.30000000000000004,0.9580314787228321,0.3,1.0,,,,,,,,,,,,,,,
chb08,chb08_21.edf,0.0,4.0,0,noise_pink,0,13,1.3681907167834115e-05,0.29999999999999993,0.9585336646852095,0.3,1.0,,,,,,,,,,,,,,,
