Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_SNR_Smoothed,Seizure_SNR_Smoothed
5.099999999999999,-2.0356434470514886,2.8638352838673593,-5.806385366868805,3.3336527810753886,-2.4389967454823043,-6.177929981348564
5.199999999999999,-3.2316121832197604,3.2521795740313704,-6.747356219605112,3.5839606211003425,-2.414293639942532,-6.038383550843821
5.299999999999999,-2.065764356159743,3.8435155109487065,-5.555477984721959,2.083491452124715,-2.3550155308527057,-6.0638760993732905
5.399999999999999,-1.4709062907045962,2.3206953221978224,-6.401884811469809,4.153803137024893,-2.356600816115542,-6.202904219072991
5.499999999999999,-1.6169423711935071,3.343198599844525,-7.394594202382493,4.294340135818714,-2.447133511038712,-6.318441029662662
5.599999999999999,-3.4459954668006048,2.6085266949556742,-6.5151807348889035,3.585336646594452,-2.3491571276803564,-6.443637446020917
5.699999999999999,-3.411229680419898,3.1146289450171887,-5.832405432738822,4.167645782764935,-2.3797115615702493,-6.402096904506052
5.799999999999999,-2.4087270300418475,3.131314918183017,-6.492582852782711,3.872336287842144,-2.3549295001609822,-6.451884998464563
5.899999999999999,-1.8687215808601987,3.076031662470678,-6.065216180672111,4.417515648297862,-2.3602081631310283,-6.507976454094008
5.999999999999999,-2.422978005706037,2.945453626624792,-6.173972520305737,2.652487950003771,-2.4599692536975875,-6.482152152236547
6.099999999999999,-3.011420747313149,4.161721472788461,-6.093714185627969,4.082886264435979,-2.433045962782148,-6.4191605226744395
6.199999999999998,-2.2947555284863297,2.6919073565248826,-7.690817229202753,3.7991506608754597,-2.450647274392594,-6.308695396362182
6.299999999999999,-2.9192535186334037,3.125018075534188,-6.122237657714841,3.295038747196184,-2.4911906483312563,-6.2243411903161245
6.399999999999999,-1.9325707379593138,3.1099641716350157,-6.269171122805823,3.6891433350644975,-2.4956309482400014,-6.154232967447932
6.499999999999998,-0.6137561269582746,3.633115869111427,-6.003085658258236,3.769317847588914,-2.4612065297270087,-6.0320737015207335
6.599999999999999,-2.7969496985661984,2.3821841517464737,-6.006306948820127,3.175001889234754,-2.26235908104694,-6.046529230079624
6.699999999999998,-2.3130153978349837,3.4948355057722904,-6.622475929759733,3.9194691047731376,-2.183611911049863,-6.018787890466046
6.799999999999999,-3.370339733725099,3.801029642237423,-5.34359560018041,3.3373038111503783,-2.2448422662086958,-5.9868908684450615
6.899999999999999,-2.8719341987631406,3.052821214003141,-5.056427881825939,3.5305994266997898,-2.278229666291342,-5.863982751802846
6.999999999999998,-2.0653717617139282,3.062516363934204,-5.629358608656416,3.5074495731816917,-2.201221029381951,-5.809725615943792
7.099999999999999,-2.0515350514174093,2.7480446896086437,-5.787384056718436,2.4065522470527005,-2.0647314878126575,-5.863441455781884
7.199999999999998,-1.4844233438132624,3.566631282218708,-5.968221086450749,3.66201373307907,-2.015079549776128,-5.762546381279954
7.299999999999999,-2.2612221008795776,3.037879153847069,-6.66093254144255,3.4578495071014737,-1.9369928323992998,-5.874931827125895
7.399999999999999,-1.5503143566682638,3.3295690504753033,-5.131593548851162,2.4206612823322846,-1.9448489397998319,-5.884422910754288
7.499999999999998,-0.6881563750824391,2.7293431717819736,-6.43196400504735,3.8384819463742086,-1.9041619591040202,-5.922414234915487
7.599999999999999,-2.419042101838629,3.9648134480204775,-5.909887288333396,2.7647873627266524,-1.743974908114964,-5.873041584157244
7.699999999999998,-2.8821599154634727,2.831653776719894,-5.940690496085912,3.0583637844345857,-1.6501033346178047,-5.840774323087682
7.799999999999998,-1.421873007412393,1.985013866260109,-5.120879502052949,3.9524049857333874,-1.5310054779140518,-5.813284602750051
7.899999999999999,-0.6000686045160465,2.4903897588202795,-7.141357136647491,2.9348234906776702,-1.4767099073051566,-5.863405040700895
7.999999999999998,-0.9871147792351552,2.7992611035649313,-6.158399565403836,2.905492577201234,-1.603656974996187,-5.856908848236062
8.099999999999998,-2.187156460534908,3.099851757059316,-4.465898657318213,3.1684599512643987,-1.5886113688696852,-5.810485040904354
8.2,-1.9158918462891907,3.52366775730907,-6.2930680910817,2.9376679785923105,-1.5654511626226975,-5.775921272101626
8.299999999999997,-1.859056556675722,3.0576414255217377,-5.307395232663131,2.9906604445547247,-1.4702791462863314,-5.7499247933180575
8.399999999999999,-1.4713405127508987,3.1764804603356356,-5.383037891303791,3.039497555003402,-1.4811967052225814,-5.7255910276327215
8.499999999999998,-1.118991422897269,3.6267880208259213,-5.003587743497592,3.78660976298104,-1.504100221870936,-5.595605381777316
8.599999999999998,-0.7252766612032334,3.239030999442443,-5.961429950054971,3.5747276308165765,-1.4025347672961543,-5.601732948066914
8.699999999999998,-1.6018175033098832,3.3887232269884127,-5.912300771039403,3.8433350963025084,-1.407419317939301,-5.5601091567192995
8.799999999999999,-1.7597758226308915,3.1699733730912345,-7.050330574439729,3.69285718534931,-1.507922587609967,-5.416627973259742
8.899999999999999,-2.6270610888427166,3.5273151583734395,-4.878908559712439,3.2324678179282866,-1.4940313608659368,-5.230121665356304
8.999999999999998,-0.1255996469786016,2.5083872086102663,-4.617881583561592,2.8399633298483344,-1.4443961697215466,-5.102733653246986
9.099999999999998,-1.227663513549383,3.0457306973224645,-5.135570937041421,4.207987687304231,-1.3430183672529385,-4.963051117055566
9.199999999999998,-1.444721565651623,2.1135953254943223,-4.755720503800232,3.602826230906169,-1.349652672507958,-4.737518904055764
