Noise_Intensity,Non_Seizure_SNR_dB,Non_Seizure_SNR_STD,Seizure_SNR_dB,Seizure_SNR_STD,Non_Seizure_Transitions,Seizure_Transitions
15.299999999999997,-1.3174013239906115,4.233383312924926,-4.213015766313421,3.502711497864926,136.2,127.25
15.399999999999997,0.08005683833136112,3.3739392613877865,-4.4749003514864665,2.7242789390960205,137.0,128.9
15.499999999999996,-0.8354082338925071,3.427693307093629,-4.707768483845703,2.2951001344738606,137.45,126.1
15.599999999999996,-0.7423147758327703,2.493132469644041,-4.6033536161029325,4.2816846757326985,137.55,136.2
15.699999999999996,-0.6957907469677849,2.908922275836951,-4.711050951607394,2.66553081565782,125.6,131.95
15.799999999999997,-0.9350745035241628,3.1404062595784357,-3.430049614844468,3.5562690507571064,136.3,137.4
15.899999999999997,-0.2690911711009517,2.7975737557987754,-4.822768302191379,2.643614734097859,138.8,133.1
15.999999999999996,-0.9434965545579083,3.002142230799827,-3.3783988002498395,3.87836054504269,133.9,143.05
16.099999999999994,0.3471034984260012,2.8885672661324073,-3.668168605804117,2.9812909898979933,131.3,127.55
16.199999999999996,-0.2738469571627775,2.0864590365146647,-4.453889494442533,3.1263747118213217,143.5,135.5
16.299999999999997,-1.1919441533451802,3.385632862023628,-3.9290654036545964,2.9774702015820464,141.7,142.95
16.4,-1.8877058568743958,3.008243258577308,-3.2489675906772746,2.794844042795862,138.5,128.7
16.499999999999996,-1.3828314651779348,3.166915243161848,-3.782802793008643,3.5485754243477934,139.65,148.1
16.599999999999998,0.674385825371327,2.3146654227357275,-3.7021431784164767,2.957407897164903,142.2,136.6
16.699999999999996,-1.9014289283089458,3.8484081390487086,-3.9983958087564644,3.682205495613001,130.35,134.0
16.799999999999997,0.020307079941055583,3.076371870419902,-2.9968441279164315,3.1083961843936754,134.15,137.35
16.899999999999995,-1.8052925256126227,3.2183669433545634,-4.284155401695548,2.937218468628654,143.65,132.45
16.999999999999996,0.11692578575558707,3.242400597598145,-3.915021359673715,3.6552767159258934,135.5,136.05
17.099999999999998,-0.12864816591474817,2.9876569956641386,-2.82927841414116,4.526774942436038,145.75,142.8
17.199999999999996,-1.0874087000653796,2.869900984196989,-3.892881502577615,3.4271354994255594,142.55,148.4
17.299999999999997,0.0012331021912987516,2.962558824757753,-2.9145363114494613,3.272720089361503,133.0,134.05
17.399999999999995,0.4078039878096093,2.3927152614611353,-4.783541735225038,4.544953791945502,145.5,143.85
17.499999999999996,-1.0262177744492775,2.937768662758377,-4.2129697359132665,4.157106574837708,141.2,136.4
17.599999999999998,-1.9570469627859395,5.206665527452845,-3.6103945033994607,2.8812286731831565,144.75,140.55
17.699999999999996,-0.47230019693400555,3.323692594851229,-2.8556123305877943,3.06659803665828,135.45,137.55
17.799999999999997,-0.6271495591938274,2.0809979359167032,-2.8085499057764207,3.6507076398583718,134.0,136.25
17.899999999999995,-0.0895782028264818,3.5969349674780933,-4.294672174789272,3.980991371115777,135.25,142.3
17.999999999999996,-0.9146337835268415,3.2560114644154954,-3.418091465145642,3.4294874095970167,142.65,142.3
18.099999999999994,-1.5075964166758364,3.075626383241152,-3.6957389753695997,2.146225843748753,142.65,130.9
18.199999999999996,-1.0560224741089828,3.234343607341422,-4.780612397119754,4.480357907871828,147.35,139.85
18.299999999999997,-0.9401297768661999,2.4646219053826175,-2.776005331774277,2.367975840146444,149.3,130.45
18.399999999999995,0.2325583863020683,3.398610557088492,-2.6206516084161313,2.9462907945921684,136.8,141.35
18.499999999999996,-0.41557667555424443,2.6834320633460687,-2.952212107988963,2.875126420645967,143.75,140.15
18.599999999999994,-0.6692056572764107,3.390147045762938,-3.596827839390938,3.3589923429890844,142.3,142.9
18.699999999999996,1.266759520222348,2.4988455094374222,-3.2405577113568165,2.362351194709502,136.7,142.4
18.799999999999997,-0.8931536750886876,1.8351969479554826,-3.0493292915687604,3.053021866019105,136.5,147.85
18.899999999999995,0.7363437140055787,4.3735292618093515,-3.6447191503933745,2.619989300112456,148.8,144.4
18.999999999999996,1.7372170108896152,3.581181356722696,-4.429363584882576,3.500957766216894,135.75,145.35
19.099999999999994,0.3078432072410392,2.20859295038491,-4.504209572274481,3.39845716688103,141.6,147.4
19.199999999999996,1.0807288794316454,3.104699538298684,-3.5916931670009644,3.8940735090519616,143.1,140.45
19.299999999999997,0.42515646848653993,2.203487844862635,-2.8748787764556445,2.779903113689971,149.1,143.65
19.399999999999995,0.7189736090972885,2.98914358866088,-4.194021070860949,3.7612040790713475,142.4,145.25
19.499999999999996,0.16134947026619748,3.4282628247995475,-3.189694522719767,2.060369324416309,143.25,147.15
19.599999999999994,0.2811074670701036,2.7341452315796557,-2.776836003263131,3.8311431918667402,143.85,145.7
19.699999999999996,1.3422379176033283,2.9761800327172967,-4.3632900817784295,2.6564512736531944,142.25,142.75
19.799999999999997,1.1741275026017515,3.239433347282102,-4.235141437145769,3.5078703153588693,150.35,150.55
19.899999999999995,0.03248057453821793,4.152038680008072,-3.0827602648070225,2.916328691696932,145.9,136.4
19.999999999999996,0.3236065600192357,3.633496090139902,-4.579799192867822,3.6052085996563212,149.1,146.55
